Year,Month,Day,CountryNo,Country,Region,City,success,AttackType,NoOfKills,PropertyValue,TargetType,latitude,GroupName,longitude,TargetSubType,Target,WeaponType,WeaponDetail
1970,7,2,58,Dominican Republic,Central America & Caribbean,Santo Domingo,1,Assassination,1,0,Private Citizens & Property,18.456792,MANO-D,-69.951164,Named Civilian,Julio Guzman,Unknown,
1970,0,0,130,Mexico,North America,Mexico city,1,Hostage Taking (Kidnapping),0,0,Government (Diplomatic),19.371887,23rd of September Communist League,-99.086624,"Diplomatic Personnel (outside of embassy, consulate)","Nadine Chaval, daughter",Unknown,
1970,1,0,160,Philippines,Southeast Asia,Unknown,1,Assassination,1,0,Journalists & Media,15.478598,Unknown,120.599741,Radio Journalist/Staff/Facility,Employee,Unknown,
1970,1,0,78,Greece,Western Europe,Athens,1,Bombing/Explosion,0,0,Government (Diplomatic),37.99749,Unknown,23.762728,Embassy/Consulate,U.S. Embassy,Explosives,Explosive
1970,1,0,101,Japan,East Asia,Fukouka,1,Facility/Infrastructure Attack,0,0,Government (Diplomatic),33.580412,Unknown,130.396361,Embassy/Consulate,U.S. Consulate,Incendiary,Incendiary
1970,1,1,217,United States,North America,Cairo,1,Armed Assault,0,0,Police,37.005105,Black Nationalists,-89.17626899999998,"Police Building (headquarters, station, school)",Cairo Police Headquarters,Firearms,Several gunshots were fired.
1970,1,2,218,Uruguay,South America,Montevideo,0,Assassination,0,0,Police,-34.891151,Tupamaros (Uruguay),-56.187214,Police Security Forces/Officers,Juan Maria de Lucah/Chief of Directorate of info. and intell.,Firearms,Automatic firearm
1970,1,2,217,United States,North America,Oakland,1,Bombing/Explosion,0,22500,Utilities,37.791927,Unknown,-122.225906,Electricity,Edes Substation,Explosives,
1970,1,2,217,United States,North America,Madison,1,Facility/Infrastructure Attack,0,60000,Military,43.076592,New Year's Gang,-89.412488,Military Recruiting Station/Academy,"R.O.T.C. offices at University of Wisconsin, Madison",Incendiary,Firebomb consisting of gasoline
1970,1,3,217,United States,North America,Madison,1,Facility/Infrastructure Attack,0,0,Government (General),43.07295,New Year's Gang,-89.38669399999998,Government Building/Facility/Office,Selective Service Headquarters in Madison Wisconsin,Incendiary,Poured gasoline on the floor and lit it with a match
1970,1,1,217,United States,North America,Baraboo,0,Bombing/Explosion,0,0,Military,43.4685,"Weather Underground, Weathermen",-89.744299,Military Barracks/Base/Headquarters/Checkpost,Badger Army ammo depot.,Explosives,Explosive
1970,1,6,217,United States,North America,Denver,1,Facility/Infrastructure Attack,0,305,Military,39.758968,Left-Wing Militants,-104.876305,Military Recruiting Station/Academy,"Army Recruiting Station, Denver Colorado",Incendiary,Molotov cocktail
1970,1,8,98,Italy,Western Europe,Rome,1,Hijacking,0,0,Airports & Aircraft,41.890961,Unknown,12.490069,Aircraft (not at an airport),Flight 802 Boeing 707,Firearms,Rifle - carbine; Pistols
1970,1,9,217,United States,North America,Detroit,1,Facility/Infrastructure Attack,0,0,Government (General),42.331685,Left-Wing Militants,-83.047924,Government Building/Facility/Office,Packard Properties building of Detroit Michigan,Incendiary,Firebomb
1970,1,9,217,United States,North America,Rio Piedras,1,Facility/Infrastructure Attack,0,2000000,Business,18.386932,Armed Commandos of Liberation,-66.061127,Retail/Grocery/Bakery,Baker's Store,Incendiary,Fire set in back of store
1970,1,10,499,East Germany (GDR),Eastern Europe,Berlin,1,Bombing/Explosion,0,0,Government (General),52.50153,Commune 1,13.401851,,Jurists Ball (Palais au Frankturm),Explosives,Explosive
1970,1,11,65,Ethiopia,Sub-Saharan Africa,Unknown,1,Unknown,1,0,Military,,Eritrean Liberation Front,,"Military Personnel (soldiers, troops, officers, forces)",Soldier,Unknown,
1970,1,12,217,United States,North America,New York City,1,Bombing/Explosion,0,0,Educational Institution,40.697132,Black Nationalists,-73.931351,School/University/Educational Building,James Madison High School,Explosives,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.
